Malaya rules_normalizer — 3374 entries
==================================================

&                              -> dan
gtu"                           -> begitu-gitu
gtu"an                         -> begitu-gituan
gtuh                           -> begitu
gtuu                           -> begitu
gtw                            -> tidak tahu
guanteng                       -> tampan
guarno                         -> macam mana
guw                            -> saya
gw                             -> saya
gya                            -> gaya
hadapin                        -> menghadapi
haddeh                         -> aduh
hadeeehhh                      -> aduh
hadeehh                        -> aduh
hadeeuh                        -> aduh
hadeuh                         -> aduh
hadeuuh                        -> aduh
hadeuuhhhh                     -> aduh
haduh                          -> aduh
haduuuh                        -> aduh
halahh                         -> alah
halangin                       -> halangi
halow                          -> hello
hampa                          -> mereka
hampeh                         -> teruk
hanat                          -> jahanam
hancurin                       -> menghancurkan
handle                         -> kawal
handling                       -> kawalan
hanta                          -> hantar
happi"                         -> hepi-hepi
happy                          -> gembira
hapusin                        -> hapuskan
haragain                       -> menghargai
hareeii                        -> celaka
hareii                         -> celaka
hargs                          -> harga
harini                         -> hari ini
haritu                         -> hari itu
haru                           -> harus
hasben                         -> suami
haslnya                        -> hasilnya
hate                           -> benci
hati.a                         -> hatinya
have                           -> ada
hawau                          -> celaka
hay                            -> hai
hayal                          -> khayal
hayalanku                      -> khayalanku
hayuu                          -> hayo
hbis                           -> habis
hbs                            -> habis
hdk                            -> hendak
hdpn                           -> hadapan
hdpnya                         -> hidupnya
hdup                           -> hidup
hedeuuhh                       -> aduh
heeee                          -> hai
heii                           -> hi
helloo                         -> hello
hellooooooo                    -> hello
helo                           -> hello
helooooo                       -> hello
henpon                         -> telefon
heran                          -> hairan
hg                             -> kamu
hgga                           -> hingga
hianatin                       -> khianati
hidiyah                        -> hidayah
hidupx                         -> hidupnya
hijap                          -> hijab
hilangin                       -> menghilangkan
hilangv                        -> hilang
him                            -> dia
himana                         -> bagaimana
hiraukn                        -> hiraukan
his                            -> dia
hmpa                           -> mereka
hmpir                          -> hampir
hndak                          -> hendak
hndk                           -> hendak
hngga                          -> hingga
hntr                           -> hantar
hny                            -> hanya
hnya                           -> hanya
hotak                          -> botak
hotx                           -> segaknya
hpus                           -> hapus
hr                             -> hari
hrga                           -> harga
hri                            -> hari
hrp                            -> harap
hrs                            -> harus
hrsny                          -> harusny
hrsnya                         -> harusnya
hrus                           -> harus
hrusnya                        -> harusnya
hslnya                         -> hasilnya
hu                             -> sedih
hub                            -> hubungan
hubngan                        -> hubungan
humble                         -> merendah diri
i                              -> saya
iaa                            -> ya
ibon                           -> ikon
ichi                           -> inci
idok                           -> tidak
idung                          -> hidung
idungnya                       -> hidungnya
idup                           -> hidup
idupnya                        -> hidupnya
if                             -> jika
ig                             -> instagram
igstory                        -> instagram story
igtlah                         -> ingatlah
ijap                           -> ijab
iklas                          -> ikhlas
ikutin                         -> mengikuti
ilang                          -> hilang
ilang-in                       -> hilangkan
imoet                          -> kecil
improve                        -> menambah baik
indefendet                     -> independen
indo                           -> indonesia
indoneaia                      -> indonesia
indonesiaah                    -> indonesia
infpyunnnn                     -> ampun
ingeet                         -> ingat
inget                          -> ingat
ingetin                        -> mengingatkan
inggat                         -> ingat
inggrisny                      -> inggrisnya
